Section,,Mass,Depth,Width,Thickness,,Root,Depth,Ratios for,,Dimensions for,,,Surface,,,,,,,,,,,,,,
Designation,,per,of,of,,,Radius,between,Local Buckling,,Detailing,,,Area,,Second Moment,,Radius of,,Elastic,,Plastic,,Buckling,Torsional,Warping,Torsional,Area
,,Metre,Section,Section,Web,Flange,,Fillets,Web,Flange,End,Notch,,Per,Per,of Area,,Gyration,,Modulus,,Modulus,,Parameter,Index,Constant,Constant,of
,,,,,,,,,,,Clearance,,,Metre,Tonne,y-y,z-z,y-y,z-z,y-y,z-z,y-y,z-z,,,,,Section
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
,,,h,b,tw,tf,r,d,cw / tw,cf / tf,C,N,n,,,,,,,,,,,U,X,Iw,I T,A
,,kg/m,mm,mm,mm,mm,mm,mm,,,mm,mm,mm,m2,m2,cm4,cm4,cm,cm,cm3,cm3,cm3,cm3,,,dm6,cm4,cm2
914x305x224,,224.2,910.4,304.1,15.9,23.9,19.1,824.4,51.8,5.23,10,156,44,2.97,13.2,376000,11200,36.3,6.27,8270,739,9530,1160,0.86,41.3,22.1,422,286
914x305x201,,200.9,903,303.3,15.1,20.2,19.1,824.4,54.6,6.19,10,156,40,2.96,14.7,325000,9420,35.7,6.07,7200,621,8350,982,0.853,46.9,18.4,291,256
838x292x226,,226.5,850.9,293.8,16.1,26.8,17.8,761.7,47.3,4.52,10,150,46,2.81,12.4,340000,11400,34.3,6.27,7980,773,9160,1210,0.869,35,19.3,514,289
838x292x194,,193.8,840.7,292.4,14.7,21.7,17.8,761.7,51.8,5.58,9,150,40,2.79,14.4,279000,9070,33.6,6.06,6640,620,7640,974,0.862,41.6,15.2,306,247
838x292x176,,175.9,834.9,291.7,14,18.8,17.8,761.7,54.4,6.44,9,150,38,2.78,15.8,246000,7800,33.1,5.9,5890,535,6810,842,0.856,46.5,13,221,224
762x267x197,,196.8,769.8,268,15.6,25.4,16.5,686,44,4.32,10,138,42,2.55,13,240000,8170,30.9,5.71,6230,610,7170,958,0.869,33.1,11.3,404,251
762x267x173,,173,762.2,266.7,14.3,21.6,16.5,686,48,5.08,9,138,40,2.53,14.6,205000,6850,30.5,5.58,5390,514,6200,807,0.865,38,9.39,267,220
762x267x147,,146.9,754,265.2,12.8,17.5,16.5,686,53.6,6.27,8,138,34,2.51,17.1,169000,5460,30,5.4,4470,411,5160,647,0.858,45.2,7.4,159,187
762x267x134,,133.9,750,264.4,12,15.5,16.5,686,57.2,7.08,8,138,32,2.51,18.7,151000,4790,29.7,5.3,4020,362,4640,570,0.853,49.8,6.46,119,171
686x254x170,,170.2,692.9,255.8,14.5,23.7,15.2,615.1,42.4,4.45,9,132,40,2.35,13.8,170000,6630,28,5.53,4920,518,5630,811,0.872,31.8,7.42,308,217
686x254x152,,152.4,687.5,254.5,13.2,21,15.2,615.1,46.6,5.02,9,132,38,2.34,15.4,150000,5780,27.8,5.46,4370,455,5000,710,0.871,35.4,6.42,220,194
686x254x140,,140.1,683.5,253.7,12.4,19,15.2,615.1,49.6,5.55,8,132,36,2.33,16.6,136000,5180,27.6,5.39,3990,409,4560,638,0.87,38.6,5.72,169,178
686x254x125,,125.2,677.9,253,11.7,16.2,15.2,615.1,52.6,6.51,8,132,32,2.32,18.5,118000,4380,27.2,5.24,3480,346,3990,542,0.863,43.8,4.8,116,159
610x305x238,,238.1,635.8,311.4,18.4,31.4,16.5,540,29.3,4.14,11,158,48,2.45,10.3,209000,15800,26.3,7.23,6590,1020,7490,1570,0.886,21.3,14.5,785,303
610x305x179,,179,620.2,307.1,14.1,23.6,16.5,540,38.3,5.51,9,158,42,2.41,13.5,153000,11400,25.9,7.07,4930,743,5550,1140,0.885,27.7,10.2,340,228
610x305x149,,149.2,612.4,304.8,11.8,19.7,16.5,540,45.8,6.6,8,158,38,2.39,16,126000,9310,25.7,7,4110,611,4590,937,0.886,32.7,8.17,200,190
